,Topic_0,Topic_1,Topic_2,Topic_3
Left_Cerebral_White_Matter,2.3260235015128194,1.8170439086677486,2.1927027188618773,2.4542749511229323
Left_Lateral_Ventricle,3.7270623539981504,2.5788596327637796,4.729023730087924,1.5547702970566801
Left_Inf_Lat_Vent,0.852132668399812,0.6732560421932197,2.4221185936704277,0.43786304090588296
Left_Cerebellum_White_Matter,2.2187969092124087,1.9608197637726965,2.241371731503797,2.283537044813116
Left_Cerebellum_Cortex,3.3875347685239614,2.7652251616834613,3.1049479954927715,3.207761728081276
Left_Thalamus_Proper,3.2019503123050925,2.49701389999047,2.7891732496390946,3.1803074664459863
Left_Caudate,1.4552489841395686,1.3537744475331959,1.295945685811647,1.7358439454276728
Left_Putamen,2.114239047271688,1.735610288536919,1.8289625030103152,2.0715007068869817
Left_Pallidum,1.844369245702856,1.4829912699928558,1.8322954726311784,1.8832802916817248
3rd_Ventricle,2.29177375431595,1.4887941342051807,2.3066850265518766,1.1394557511036907
4th_Ventricle,1.5358708234119574,1.4321417668741403,1.308691600645063,1.2034873312427188
Brain_Stem,3.626606773362079,3.033393441322519,3.401700129295221,3.5788173999926007
Left_Hippocampus,1.9593010406337605,1.4101988657377695,1.1734982248425527,1.7928885319205947
Left_Amygdala,2.0003653952908143,1.2869149957505086,1.060798011038158,1.73212248078502
CSF,1.2495659905654641,1.1552080259139026,1.4069129507456357,1.0427512330935247
Left_Accumbens_area,1.0257574643942913,0.804354390532009,0.812238090396557,1.0068968415327912
Left_VentralDC,1.8749167141118745,1.4940138892222257,1.7304323952934288,1.8454331184108794
Left_choroid_plexus,0.830455215620324,0.8874423133679362,0.8126587438570597,0.6761473232128973
Right_Cerebral_White_Matter,2.3296109018406326,1.8184502357861196,2.2347056402575483,2.4632881204560717
Right_Lateral_Ventricle,3.7075786331590495,2.6928533391159206,4.050103692045959,1.5215452659689566
Right_Inf_Lat_Vent,0.7120875754805305,0.7625407809625195,2.228171295761503,0.477625052054041
Right_Cerebellum_White_Matter,2.2944959967201335,1.9860718312723904,2.2709542031756627,2.35409334518145
Right_Cerebellum_Cortex,3.6164442390814435,2.7856292185816605,3.33781216170979,3.3571620420862796
Right_Thalamus_Proper,3.2649247193435316,2.360774178205858,2.92464293986665,3.213697024674695
Right_Caudate,1.4629925636493788,1.3256382612146225,1.3575389939886204,1.7161655556402944
Right_Putamen,2.1425966485963763,1.7737366290640033,1.9352503080393917,2.1186571594668213
Right_Pallidum,1.842899736224998,1.5211120182832383,1.8240374629586442,1.9209913633412952
Right_Hippocampus,2.0099827937929042,1.3709408083222967,1.2936267584191186,1.8187064742624584
Right_Amygdala,2.086855050520155,1.3509563668604894,1.3087134805723952,1.8259239403322711
Right_Accumbens_area,1.147216412739263,0.8235319004827264,0.9435141714488646,1.0877083753929069
Right_VentralDC,1.8335029048730724,1.4765911879716942,1.7139338944323728,1.842838882500606
Right_choroid_plexus,0.7848885326591071,0.9392837372018007,0.8388762420231067,0.6573144666954749
WM-hypointensities,0.340863739205276,1.498757906399201,0.9709818808987997,0.3261122907289485
ctx_lh_caudalanteriorcingulate,1.1241432251117436,1.0231541280842755,0.8930279552447771,1.156682751512711
ctx_lh_caudalmiddlefrontal,1.141372315738843,0.9054441130991326,0.8848162624313132,1.1024612340103812
ctx_lh_cuneus,0.8376927034056576,0.6916998779149266,0.7042971342143777,0.767988300532424
ctx_lh_entorhinal,1.6193235105514274,0.8331278846079084,0.6532107840552515,1.2839884956879193
ctx_lh_fusiform,1.2535126125421656,0.954992358692816,0.810459119352078,1.1327013455532338
ctx_lh_inferiorparietal,1.1603638308536384,0.8700816696571778,0.8167134654328972,1.090711813968807
ctx_lh_inferiortemporal,1.430516212388015,1.0842932410801431,0.942388121849061,1.2880265471173535
ctx_lh_isthmuscingulate,1.085091643454411,0.8179602392764882,0.726149086257281,0.9847282237027687
ctx_lh_lateraloccipital,1.0424054877977298,0.8156582653134632,0.7814783973778292,1.0020394473657979
ctx_lh_lateralorbitofrontal,1.2016894208016446,0.9405421415226599,0.9355721443536498,1.1642531304951416
ctx_lh_lingual,0.8800524277237635,0.7132873615276882,0.6962546745218025,0.8404041969619227
ctx_lh_medialorbitofrontal,1.0677699556162163,0.8114162360502275,0.8159598324971619,1.0405849991003753
ctx_lh_middletemporal,1.3100796940811397,0.9789494755631731,0.9232846698725525,1.188633544046021
ctx_lh_parahippocampal,1.2110399993042371,0.8273346448341629,0.6891116641945336,1.0286277909728518
ctx_lh_paracentral,1.1332853833115466,0.8776508552158786,0.9178719762240712,1.0369666151455714
ctx_lh_parsopercularis,1.1129749916280371,0.8628017996769726,0.8921652444593582,1.0411255586625354
ctx_lh_parsorbitalis,1.0593009353344425,0.8887551121236574,0.9012861952162223,1.0349542645839434
ctx_lh_parstriangularis,0.9604870869886881,0.870331767922813,0.828616672910439,1.002159338236991
ctx_lh_pericalcarine,0.6185765417970122,0.5563657694498962,0.5295926945705854,0.6290284674819199
ctx_lh_postcentral,0.9056657994862418,0.7267933445206808,0.7373607097752051,0.8500425023401866
ctx_lh_posteriorcingulate,1.144448118589953,0.9105294807323083,0.8475851071493519,1.0508978386385759
ctx_lh_precentral,1.187178645563879,0.9502940890610446,0.9488731503355902,1.1153953412418185
ctx_lh_precuneus,1.1327503667820906,0.7486954611013692,0.8064544951113838,1.0145506236015776
ctx_lh_rostralanteriorcingulate,1.1883774481620741,0.9233853708957308,0.8794835041920256,1.142357644406467
ctx_lh_rostralmiddlefrontal,1.0513766754549174,0.8549988648769995,0.8631537666110082,1.0775896397424678
ctx_lh_superiorfrontal,1.2257508395061498,1.0164032984302112,1.000121354034222,1.230777233235725
ctx_lh_superiorparietal,1.027052852505352,0.753690586242051,0.7855166565726088,0.9398846447403092
ctx_lh_superiortemporal,1.3653978082683211,0.9245926108298334,0.8784204660294316,1.2050791697115542
ctx_lh_supramarginal,1.1144919342700614,0.9404374400775697,0.8338044970143235,1.0705258451079782
ctx_lh_transversetemporal,0.9241172788706382,0.717856503122879,0.7083901919408413,0.8115637950371184
ctx_lh_insula,1.420111380294923,1.0779812742681092,0.9711865356663854,1.302133470722525
ctx_rh_caudalanteriorcingulate,1.0596842483324729,0.955176526156842,0.958291663128108,1.0543430920323158
ctx_rh_caudalmiddlefrontal,1.1392534044975295,0.9148316003943228,0.8632105195604672,1.0737593190306969
ctx_rh_cuneus,0.8153981358209866,0.6830137423081963,0.658748727984653,0.7611079068218212
ctx_rh_entorhinal,1.6573413149409466,0.8294712311800971,0.7769958591181227,1.2928474495946538
ctx_rh_fusiform,1.3375236117578149,0.8942060837216385,0.8210428558284252,1.135265899666565
ctx_rh_inferiorparietal,1.1781376489618813,0.8816242851134175,0.7842380690152878,1.102696062682983
ctx_rh_inferiortemporal,1.4186119056189763,1.0491707052078914,0.9669820544437254,1.2946558951171574
ctx_rh_isthmuscingulate,1.0553980938988183,0.8237937817552236,0.7180198143906117,0.9632246748271629
ctx_rh_lateraloccipital,1.0767206824322944,0.856266637818232,0.7874802637157874,1.0210470868693777
ctx_rh_lateralorbitofrontal,1.1866614295173654,0.989806918783982,0.9590786519715059,1.1640448990638814
ctx_rh_lingual,0.9087464139609249,0.6970606401956047,0.7159216585252751,0.844498365628133
ctx_rh_medialorbitofrontal,1.0813908342450396,0.8148266708909748,0.8634775876496743,1.053096690941855
ctx_rh_middletemporal,1.3431173683299584,1.0111588605188813,0.9412453324210845,1.2010664971481306
ctx_rh_parahippocampal,1.161233241215764,0.825508540563954,0.7002108902516737,1.025902512164351
ctx_rh_paracentral,1.1134279168382324,0.8298820671874094,0.9092594400189392,1.03701681655036
ctx_rh_parsopercularis,1.0739253031436473,0.8540903188404755,0.8659761011763923,1.0142969251059477
ctx_rh_parsorbitalis,1.091220571561748,0.9221885403162698,0.8810130267263974,1.0571696702667948
ctx_rh_parstriangularis,0.9905254022337057,0.815479665470752,0.8796368703804323,0.9998974768871044
ctx_rh_pericalcarine,0.6604944003426796,0.5567027818787079,0.5740636864045751,0.6495475968579512
ctx_rh_postcentral,0.9098218517272504,0.713116005564839,0.7121584297151465,0.8281030850300636
ctx_rh_posteriorcingulate,1.121244259929052,0.8952903298355736,0.8643245642732382,1.0577793127377417
ctx_rh_precentral,1.1388653190685272,0.9481352321880748,0.9316666845511032,1.0987392576194293
ctx_rh_precuneus,1.0944422778373124,0.764120195225086,0.7879796405687184,0.9960026201406358
ctx_rh_rostralanteriorcingulate,1.2022677504679025,0.8843114904206796,0.9124690182704355,1.0607122989875974
ctx_rh_rostralmiddlefrontal,1.0216527373899191,0.8681880608266037,0.8748845733992042,1.0645036004057464
ctx_rh_superiorfrontal,1.213861610482859,1.0153383869973498,0.9910437921028953,1.228663582616708
ctx_rh_superiorparietal,1.0244935408342448,0.7525118428562291,0.7588305206953568,0.9084646650789265
ctx_rh_superiortemporal,1.3915892670748828,0.9232690110555419,0.9348473152593365,1.2322544940485423
ctx_rh_supramarginal,1.126943609601016,0.9003290616118433,0.8260553640466584,1.0604544434382932
ctx_rh_transversetemporal,0.8869348020656255,0.7242890972619173,0.6774475202444781,0.8047223488837847
ctx_rh_insula,1.4133440689973549,1.046392432195153,0.985767772790388,1.292307411622874
